ngl,Centre/location,Product code,Category,Sub-Category,Product title,Description,material,dimension (H*W*B),sizes/capacity,colors,Care Instruction,Features,Stock available,Sample photo,Cost B2C,Min. and Maximum ordering quantity,Cost B2B,Mininum and Maximum ordering quantity,Centre Poc name,Centre poc contact no.,Remark,,S.no.,Centre Name,Total beneficiaries at present,Beneficiary Testimonial,,,Centre testimonial
10,Fathenagar,bp10,Backpack,Laptop Backpack,Blue and Grey Printed Cotton Backpack,"This product is a handmade, durable and easily washable Blue and Grey printed cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Blue&Grey pattern,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,,,,,,,,,,,
11,Fathenagar,bp11,Backpack,Laptop Backpack,Orange and Black Handloom Printed Cotton Backpack,"This product is a handmade, durable and easily washable Orange and Black handloom printed cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Light grey pattern,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,,,,,,,,,,,
12,Fathenagar,bp12,Backpack,Laptop Backpack,Orange and Black Handloom Printed Cotton Backpack,"This product is a handmade, durable and easily washable Orange and Black handloom printed cotton Backpack . It is made of cotton (Primary material), thermocol (Middle material), non-woven fabric (Inner material) and nylon (Handle material) which makes it long-lasting. The dimensions of the backpack are 16*13*4. It can hold upto 8 kgs, can be used as Laptop bag,School bag etc. The product has a zipper closure. It features a laptop partition inside and a small zipper pocket inside and outside to carry pens, hold cards etc.","Cotton, thermocol, non-woven fabric, nylon",16*13*4,8kg,Black&orange pattern,hand wash only,"Handmade, Durable, easily washable",1,,1050,1,,,,,,,,,,,,,
13,Fathenagar,hb13,Handbag,handbag,Green printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable sea green printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*16.5,5kg,Sea Green,hand wash only,"Handmade, Durable, easily washable",1,,500,1,,,,,,,,,,,,,
14,Fathenagar,hb14,Handbag,handbag,Light Orange and Green Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Light orange and green printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*16.5,5kg,Light Orange and Green Printed,hand wash only,"Handmade, Durable, easily washable",1,,500,1,,,,,,,,,,,,,
15,Fathenagar,hb15,Handbag,handbag,Grey and Orange Elephant Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Grey and orange elephant printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*16.5,5kg,Grey and Orange,hand wash only,"Handmade, Durable, easily washable",1,,500,1,,,,,,,,,,,,,
16,Fathenagar,hb 16,Handbag,handbag,Light Blue and Orange Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Light blue and orange printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*16.5,5kg,Light Blue and Orange,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
17,Fathenagar,hb 17,Handbag,handbag,Light Blue and Pink Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Light blue and pink printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*16.5,5kg,Light Blue and pink,hand wash only,"Handmade, Durable, easily washable",2,,500,,,,,,,,,,,,,,
18,Fathenagar,hb 18,Handbag,handbag,Beige and Red Printed Handloom Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Beige and red printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",15*13*4,5kg,Red and Beige,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
19,Fathenagar,hb19,Handbag,handbag,Orange and Green Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Orange and green cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",12*15*4,5kg,Green and Light Orange,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
20,Fathenagar,hb 20,Handbag,handbag,Pink and Yellow cotton Handbag,"This is a handmade, durable, waterproof and easily washable Pink and yellow cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Pink and yellow pattern,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
21,Fathenagar,hb 21,Handbag,handbag,Light Grey Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Light grey cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Light grey ,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
22,Fathenagar,hb22,Handbag,handbag,Peach and Black Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Peach and black printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Peach and black,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
23,Fathenagar,hb 23,Handbag,handbag,White and Light Green Cotton Handbag,"This is a handmade, durable, waterproof and easily washable White and light green cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",13*16*4,5kg,White and light green,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
24,Fathenagar,hb 24,Handbag,handbag,Green Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Green printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",13*16*4,5kg,Green,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
25,Fathenagar,hb25,Handbag,handbag,Light Green Cotton Handbag,"This is a handmade, durable, waterproof and easily washable light green cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",13*15*4,5kg,Light green,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
26,Fathenagar,hb 26,Handbag,handbag,Yellow and Green Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Yellow and green printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (Inner material) and Nylon (Handle material). The dimensions of the handbag are 15*16.5. It can hold up to 5 kgs and has zipper closure. It features additional mini compartments inside to carry pens, cards etc.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Yellow and green,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
27,Fathenagar,hb27,Handbag,handbag,Maroon Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Maroon printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the handbag are 14*16*4. It features additional mini compartments inside and can hold upto 5 kgs.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Maroon,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
28,Fathenagar,hb28,Handbag,handbag,Orange Printed Handloom Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Orange printed handloom cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the handbag are 14*16*4. It features additional mini compartments inside and can hold upto 5 kgs.","Cotton, thermocol, non-woven fabric, nylon",14*16*4,5kg,Orange ,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
29,Fathenagar,hb29,Handbag,handbag,Pink Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Pink cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the handbag are 14*16*4. It features additional mini compartments inside and can hold upto 5 kgs.","Cotton, thermocol, non-woven fabric, nylon",14*17*4,5kg,Pink ,hand wash only,"Handmade, Durable, easily washable",1,,550,,,,,,,,,,,,,,
30,Fathenagar,hb30,Handbag,handbag,Multicolored Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Multicolored cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the handbag are 13*18*4. It features additional mini compartments inside and can hold upto 5 kgs.","Cotton, thermocol, non-woven fabric, nylon",13*18*4,5kg,Multicolored,hand wash only,"Handmade, Durable, easily washable",1,,550,,,,,,,,,,,,,,
31,Fathenagar,hb 31,Handbag,handbag,Teal Printed Cotton Handbag,"This is a handmade, durable, waterproof and easily washable Teal printed cotton handbag. The handbag is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the handbag are 14*15*4. It features additional mini compartments inside and can hold upto 5 kgs.","Cotton, thermocol, non-woven fabric, nylon",14*15*4,5kg,Teal,hand wash only,"Handmade, Durable, easily washable",1,,500,,,,,,,,,,,,,,
32,Fathenagar,LS32,Laptop Bag,Laptop Sleeve,Light Grey Handloom Cotton Laptop Sleeve,"This is a handmade, durable and easily washable Light grey handloom cotton Laptop Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and velcro closure to keep laptop safe and secure. The dimensions of the bag are 12*16 and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",12*16,3kg,light grey,hand wash only,"Handmade, Durable, easily washable",1,,700,1,,,,,,,,,,,,,
33,Fathenagar,LS33,Laptop Bag,Laptop Sleeve,Grey Handloom Cotton Laptop Sleeve,"This is a handmade, durable and easily washable Grey handloom cotton Laptop Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and velcro closure to keep laptop safe and secure. The dimensions of the bag are 12*16 and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",12*16,3kg,Grey,hand wash only,"Handmade, Durable, easily washable",1,,700,,,,,,,,,,,,,,
34,Fathenagar,LS34,Laptop Bag,Laptop Sleeve,Red Cotton Laptop Sleeve,"This is a handmade, durable and easily washable light grey handloom cotton laptop sleeve. It is made of cotton (primary material), thermocol (middle), non-woven fabric (inner material) and velcro closure to keep the laptop safe and secure. The dimensions of the bag are 12*16 and can hold up to 3kg.","Cotton, thermocol, non-woven fabric",12*16,3kg,Red,hand wash only,"Handmade, Durable, easily washable",1,,700,,,,,,,,,,,,,,
35,Fathenagar,LS35,Laptop Bag,Laptop Sleeve,Black Handloom Cotton Laptop Sleeve,"This is a handmade, durable and easily washable Black handloom cotton Laptop Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and velcro closure to keep laptop safe and secure. The dimensions of the bag are 12*16 and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",12*16,3kg,Black,hand wash only,"Handmade, Durable, easily washable",1,,700,,,,,,,,,,,,,,
36,Fathenagar,IS36,Ipad Bag,Ipad Sleeve,Grey Handloom Cotton Ipad Sleeve,"This is a handmade, durable and easily washable grey handloom cotton iPad sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 12*9 and can hold up to 1 kg.","Cotton, thermocol, non-woven fabric",12*9,1kg,Grey ,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
37,Fathenagar,IS37,Ipad Bag,Ipad Sleeve,Blue Handloom Cotton Ipad Sleeve,"This is a handmade, durable and easily washable Blue handloom cotton iPad Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 11.5*8 and can hold upto 1 kg.","Cotton, thermocol, non-woven fabric",11.5*8,1kg,Blue,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
38,Fathenagar,IS38,Ipad Bag,Ipad Sleeve,Pink and Green Handloom Cotton Ipad Sleeve,"This is a handmade, durable and easily washable Pink and Green handloom cotton iPad Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 11.5*9 and can hold upto 1 kg. ","Cotton, thermocol, non-woven fabric",11.5*9,1kg,Pink and Green,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
39,Fathenagar,IS39,Ipad Bag,Ipad Sleeve,Yellow cotton iPad Sleeve,"This is a handmade, durable and easily washable Yellow cotton iPad Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 12*9 and can hold upto 1 kg. ","Cotton, thermocol, non-woven fabric",12*9,1kg,Yellow,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
40,Fathenagar,IS40,Ipad Bag,Ipad Sleeve,Black handloom cotton iPad Sleeve,"This is a handmade, durable and easily washable Black handloom cotton iPad Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 11*8.5 and can hold upto 1 kg. ","Cotton, thermocol, non-woven fabric",11*8.5,1kg,Black,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
41,Fathenagar,IS41,Ipad Bag,Ipad Sleeve,Blue handloom cotton iPad Sleeve,"This is a handmade, durable and easily washable Blue handloom cotton iPad Sleeve. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and button closure to keep iPad safe and secure. The dimensions of the bag are 12*9 and can hold upto 1 kg. ","Cotton, thermocol, non-woven fabric",12*9,1 kg,Blue,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
42,Fathenagar,CP42,Charger Bag,Charger Pouch,Red handloom cotton charger pouch,"This is a handmade, durable and easily washable Red handloom cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7.5*11.5 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7.5*11.5,1.5 kg,Red ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
43,Fathenagar,CP43,Charger Bag,Charger Pouch,Black handloom cotton charger pouch,"This is a handmade, durable and easily washable Black handloom cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7.5*12 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7.5*12,1.5 kg,black ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
44,Fathenagar,CP44,Charger Bag,Charger Pouch,Red cotton charger pouch,"This is a handmade, durable and easily washable Red cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7*11 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7*11,1.5 kg,Maroon ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
45,Fathenagar,CP45,Charger Bag,Charger Pouch,Sea green cotton charger pouch,"This is a handmade, durable and easily washable sea green cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7.5*11 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7.5*11,1.5 kg,Sea Green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
46,Fathenagar,CP46,Charger Bag,Charger Pouch,Sea green cotton charger pouch,"This is a handmade, durable and easily washable sea green cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7.5*11 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7.5*11,1.5 kg,Sea Green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
47,Fathenagar,CP47,Charger Bag,Charger Pouch,Orange cotton Charger pouch,"This is a handmade, durable and easily washable Orange cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7*12 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7*12,1.5 kg,Orange,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,Need to change colour in product sheet,,,,,,,,
48,Fathenagar,CP48,Charger Bag,Charger Pouch,Yellow cotton charger pouch,"This is a handmade, durable and easily washable Yellow cotton Charger pouch. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material). The dimensions of the bag are 7*11 and can hold upto 1.5 kg. The product has a zipper closure.","Cotton, thermocol, non-woven fabric, nylon",7*11,1.5 kg,Yellow ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
49,Fathenagar,                                         LB49                             ,Laptop bag,Laptop sleeve bag,Orange handloom cotton Laptop Sleeve bag,"This is a handmade, durable and easily washable Orange handloom cotton Laptop Sleeve bag. It is made of cotton (Primary material), sponge (middle), non-woven fabric (inner material) and zipper closure to keep laptop safe and secure. The dimensions of the bag are 12.5*16 and can hold upto 4kg. It features additional mini compartment to hold pens,pendrives etc.","Primary material cotton,sponge,inner non woven fabric",12.5*16,4 kg,Orange,hand wash only,"Handmade, Durable, easily washable",1,,700,,,,,,,,,,,,,,
50,Fathenagar,LB50,Laptop bag,Laptop sleeve bag,Light pink handloom cotton Laptop Sleeve bag,"This is a handmade, durable and easily washable Light pink handloom cotton Laptop Sleeve bag. It is made of cotton (Primary material), sponge (middle), non-woven fabric (inner material) and zipper closure to keep laptop safe and secure. The dimensions of the bag are 12.5*17.5 and can hold upto 5kg. It features additional mini compartment to hold pens,pendrives etc.","Primary material cotton,sponge,inner non woven fabric",12.5*17.5,5 kg,Light pink,hand wash only,"Handmade, Durable, easily washable",1,,750,,,,,,,,,,,,,,
51,Fathenagar,LB51,Laptop bag,Laptop sleeve bag,Grey handloom cotton Laptop Sleeve bag,"This is a handmade, durable and easily washable Grey handloom cotton Laptop Sleeve bag. It is made of cotton (Primary material), sponge (middle), non-woven fabric (inner material) and zipper closure to keep laptop safe and secure. The dimensions of the bag are 13*18 and can hold upto 5kg. It features additional mini compartment to hold pens,pendrives etc.","Primary material cotton,sponge,inner non woven fabric",13*18,5kg,Grey,hand wash only,"Handmade, Durable, easily washable",1,,750,,,,,,,,,,,,,,
52,Fathenagar,TB52,Tiffin bag,Tiffin bag,Red and black printed cotton tiffin bag,"This is a handmade, durable and easily washable Red and black printed cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8*14*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8*14*3,3kg,Red and Black,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
53,Fathenagar,TB53,Tiffin bag,Tiffin bag,Light Green and black cotton tiffin bag,"This is a handmade, durable and easily washable Light Green and black cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 9*15*2.5. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",9*15*2.5,3kg,Light Green and black,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
